unit_id,area,neuron_type,n_same_cat_trials,n_diff_cat_trials,same_cat_diff_mean,same_cat_diff_sem,diff_cat_diff_mean,diff_cat_diff_sem,difference_pvalue,same_cat_ratio_mean,diff_cat_ratio_mean,ratio_pvalue,same_cat_correlation,diff_cat_correlation,adaptation_effect,significant_congruence_effect,is_first_cat_selective,is_first_num_selective,is_second_cat_selective,is_second_num_selective
357,SMA,encoding_only,72,216,-1.2161383458432375,0.4140748316446432,-0.205475853036016,0.2625977172931747,0.050196392647997516,2.4658608662948036,19.00873401871833,0.1530225019208341,0.18474564514146527,0.20803213721731909,none,False,False,False,False,True
359,SMA,encoding_only,72,216,-0.09565424133119474,0.10142817609209809,-0.13665132493250048,0.06257310498899239,0.739557470911889,18.55784693867513,19.883779858992394,0.8557755359078865,0.0892736624417634,0.05500136719052008,none,False,False,False,False,False
360,SMA,encoding_only,72,216,-0.437184117147347,0.3592517552901965,-0.560443052337555,0.1846661988757734,0.7466282109645118,28.435716408139257,15.171738433164752,0.23563473547845823,0.05583357788748372,0.1778271160130682,none,False,False,False,False,False
361,SMA,encoding_only,72,216,-0.45093997087160964,0.12601470055725936,-0.16858797210721035,0.0904740456545309,0.10342209626034303,7.533179444631775,15.888815922455196,0.21059419698294599,0.09713499809451888,0.20098532639717012,none,False,False,False,False,False
366,SMA,encoding_only,72,216,1.8289978241570293,1.2159316174047743,0.296663686040705,0.5836237042352214,0.21396534945068904,1.155054948605222,12.905298053707442,0.567322871246398,0.25574807819912665,0.44061263103942655,none,False,True,False,True,False
367,SMA,encoding_only,72,216,-0.10940407480558716,0.10023384162947313,-0.09557815128402108,0.05756718309023828,0.9046242453997986,15.855851255099246,18.579090359991497,0.6104654739053479,0.18246053404687398,0.1680159902420182,none,False,True,False,False,False
368,SMA,encoding_only,72,216,-0.49216409367511044,0.2751717124911819,-0.4507507584834826,0.21398913758653978,0.9183107027575707,9.306381428033442,14.91053713667701,0.48210008245797786,0.12749289137417072,0.062128800021182456,none,False,False,False,False,False
373,SMA,encoding_only,72,216,1.7757490215584655,0.44267296730619116,2.0312275807466507,0.28324321834485156,0.6446017933299116,17.151202579806395,26.925207738404612,0.5958892419137848,0.13939467000996494,0.21141455090672132,none,False,False,False,False,False
374,SMA,encoding_only,72,216,-0.23246258287508845,0.24887896647007415,-0.35520458452051823,0.1577534899487181,0.6912752257280015,28.3393986063436,22.48192649155416,0.5910405250410959,0.35749072412464045,0.02612008135360176,none,False,False,False,False,False
375,A,encoding_only,72,216,0.20486563656725812,0.1519171836489685,0.1864120048030891,0.08134288521017204,0.9115294046770284,45.94636808547271,42.298009389941164,0.7362593009486134,-0.043162831093297806,0.035266513834537376,none,False,False,False,False,False
376,A,delay_only,72,216,0.013628546944838381,0.21799793092094488,-0.2734653528871007,0.12938131057171803,0.2649514055073034,44.627731895224834,39.52616948125518,0.6883902521910621,-0.03340281800621213,0.016031620063579936,none,False,True,False,False,False
377,A,encoding_only,72,216,0.06827907866945976,0.05941564754245746,0.041009723615213586,0.04624190559448563,0.7546349471798914,15.944237253075974,19.108445978220896,0.6001502330113735,0.058515676432143296,-0.0014572614342444504,none,False,True,False,False,False
378,A,delay_only,72,216,0.32751280087422324,0.23988384225887333,0.46035726086637224,0.17254996926226335,0.6871323173745989,25.870467573068943,48.21840920420135,0.18169511466045687,0.05418797284523783,-0.04619877203454218,none,False,True,False,True,False
