trial,rt,acc,key,t_pre_stim,t_delay1,t_delay2,first_cat,second_cat,first_num,second_num,first_pic,second_pic,probe_cat,probe_pic,probe_validity,probe_num,correct_answer,rt_sliding_mean,cat_comparison,error_type
119.0,3.5133,1.0,5.0,,,,2.0,1.0,1,5,2011.0,1023.0,1.0,2.0,1.0,5.0,5.0,5.38088,Different,correct
120.0,5.2794,1.0,5.0,,,,2.0,3.0,5,5,2026.0,3022.0,3.0,2.0,1.0,5.0,5.0,5.581290000000001,Different,correct
121.0,2.6814,1.0,5.0,,,,1.0,4.0,5,5,1029.0,4025.0,4.0,2.0,1.0,5.0,5.0,5.62158,Different,correct
122.0,10.5697,1.0,5.0,,,,3.0,3.0,5,1,3025.0,3011.0,3.0,1.0,1.0,5.0,5.0,6.3676200000000005,Same,correct
123.0,2.4477,1.0,5.0,,,,4.0,3.0,5,1,4025.0,3011.0,4.0,1.0,1.0,5.0,5.0,6.205080000000001,Different,correct
124.0,4.1284,1.0,0.0,,,,4.0,1.0,1,1,4015.0,1018.0,1.0,1.0,0.0,0.0,0.0,6.28057,Different,correct
125.0,67.5248,1.0,1.0,,,,3.0,3.0,1,5,3013.0,3023.0,3.0,1.0,1.0,1.0,1.0,12.831290000000001,Same,correct
126.0,2.3736,1.0,5.0,,,,4.0,4.0,5,5,4023.0,4022.0,4.0,2.0,1.0,5.0,5.0,10.48671,Same,correct
127.0,2.4609,1.0,1.0,,,,3.0,4.0,1,1,3013.0,4014.0,4.0,2.0,1.0,1.0,1.0,10.472910000000002,Different,correct
128.0,3.7872,1.0,1.0,,,,1.0,2.0,1,5,1012.0,2025.0,1.0,1.0,1.0,1.0,1.0,10.476640000000002,Different,correct
129.0,3.2427,1.0,1.0,,,,4.0,1.0,1,5,4011.0,1026.0,4.0,1.0,1.0,1.0,1.0,10.449580000000001,Different,correct
130.0,2.6587,1.0,5.0,,,,2.0,3.0,5,1,2029.0,3015.0,2.0,1.0,1.0,5.0,5.0,10.18751,Different,correct
131.0,5.1511,1.0,0.0,,,,4.0,2.0,5,5,4022.0,2023.0,4.0,2.0,0.0,0.0,0.0,10.43448,Different,correct
132.0,3.0833,1.0,0.0,,,,3.0,3.0,5,1,3026.0,3012.0,2.0,1.0,0.0,0.0,0.0,9.68584,Same,correct
133.0,2.9637,1.0,1.0,,,,3.0,2.0,5,1,3023.0,2013.0,2.0,2.0,1.0,1.0,1.0,9.737440000000001,Different,correct
134.0,2.7305,1.0,0.0,,,,2.0,2.0,1,1,2013.0,2017.0,3.0,1.0,0.0,0.0,0.0,9.597650000000002,Same,correct
135.0,2.0709,0.0,1.0,,,,1.0,4.0,1,1,1018.0,4018.0,1.0,1.0,1.0,5.0,5.0,3.0522600000000013,Different,other error
136.0,2.9239,1.0,1.0,,,,3.0,4.0,1,1,3012.0,4011.0,4.0,2.0,1.0,1.0,1.0,3.1072900000000017,Different,correct
137.0,2.4087,1.0,5.0,,,,2.0,1.0,5,5,2021.0,1027.0,1.0,2.0,1.0,5.0,5.0,3.1020700000000017,Different,correct
138.0,1.9669,1.0,1.0,,,,4.0,4.0,5,1,4029.0,4017.0,4.0,2.0,1.0,1.0,1.0,2.920040000000001,Same,correct
139.0,4.5254,1.0,0.0,,,,2.0,1.0,1,1,2018.0,1016.0,2.0,2.0,0.0,0.0,0.0,3.0483100000000016,Different,correct
140.0,2.0676,1.0,5.0,,,,2.0,3.0,1,5,2018.0,3021.0,3.0,2.0,1.0,5.0,5.0,2.989200000000001,Different,correct
141.0,5.9743,1.0,0.0,,,,4.0,1.0,1,5,4012.0,1029.0,1.0,1.0,0.0,0.0,0.0,3.071520000000002,Different,correct
142.0,2.7658,0.0,1.0,,,,2.0,1.0,1,1,2016.0,1013.0,2.0,2.0,0.0,0.0,0.0,3.0397700000000016,Different,swap error
143.0,2.7267,1.0,1.0,,,,2.0,3.0,5,1,2022.0,3017.0,3.0,2.0,1.0,1.0,1.0,3.016070000000002,Different,correct
144.0,4.6329,1.0,0.0,,,,4.0,3.0,5,1,4022.0,3016.0,3.0,1.0,0.0,0.0,0.0,3.206310000000002,Different,correct
145.0,3.5385,1.0,0.0,,,,1.0,4.0,1,5,1014.0,4028.0,4.0,1.0,0.0,0.0,0.0,3.3530700000000015,Different,correct
146.0,2.7166,0.0,5.0,,,,4.0,3.0,5,1,4026.0,3014.0,4.0,2.0,0.0,0.0,0.0,3.332340000000001,Different,swap error
147.0,2.2079,1.0,1.0,,,,4.0,3.0,1,5,4011.0,3021.0,4.0,1.0,1.0,1.0,1.0,3.312260000000001,Different,correct
148.0,12.3716,0.0,5.0,,,,3.0,4.0,5,5,3029.0,4022.0,3.0,2.0,0.0,0.0,0.0,4.352730000000002,Different,swap error
149.0,3.9393,1.0,0.0,,,,2.0,4.0,5,5,2029.0,4025.0,2.0,2.0,0.0,0.0,0.0,4.294120000000002,Different,correct
150.0,40.7674,0.0,1.0,,,,4.0,1.0,1,1,4013.0,1011.0,1.0,1.0,0.0,0.0,0.0,8.164100000000001,Different,swap error
151.0,22.531,1.0,0.0,,,,1.0,4.0,5,1,1028.0,4016.0,4.0,1.0,0.0,0.0,0.0,9.819770000000002,Different,correct
152.0,2.5618,1.0,1.0,,,,1.0,3.0,1,1,1016.0,3011.0,1.0,1.0,1.0,1.0,1.0,9.799370000000001,Different,correct
153.0,2.9619,1.0,0.0,,,,1.0,2.0,5,1,1027.0,2014.0,2.0,1.0,0.0,0.0,0.0,9.822890000000003,Different,correct
154.0,2.5584,1.0,1.0,,,,2.0,1.0,1,1,2016.0,1011.0,2.0,1.0,1.0,1.0,1.0,9.615440000000003,Different,correct
155.0,10.4187,1.0,1.0,,,,4.0,1.0,5,1,4022.0,1013.0,1.0,2.0,1.0,1.0,1.0,10.303460000000001,Different,correct
156.0,4.7161,1.0,1.0,,,,3.0,4.0,1,5,3017.0,4029.0,3.0,1.0,1.0,1.0,1.0,10.503410000000002,Different,correct
157.0,1.939,1.0,5.0,,,,1.0,2.0,5,5,1023.0,2029.0,2.0,2.0,1.0,5.0,5.0,10.476520000000002,Different,correct
158.0,2.6183,1.0,0.0,,,,4.0,2.0,1,1,4014.0,2018.0,4.0,2.0,0.0,0.0,0.0,9.501190000000003,Different,correct
159.0,2.1436,1.0,0.0,,,,2.0,4.0,5,1,2022.0,4017.0,4.0,1.0,0.0,0.0,0.0,9.321620000000001,Different,correct
160.0,1.8394,1.0,1.0,,,,2.0,2.0,1,1,2012.0,2018.0,2.0,1.0,1.0,1.0,1.0,5.428820000000001,Same,correct
161.0,4.0575,1.0,0.0,,,,1.0,4.0,1,1,1011.0,4013.0,4.0,1.0,0.0,0.0,0.0,3.5814700000000017,Different,correct
162.0,3.1688,0.0,5.0,,,,2.0,1.0,1,5,2011.0,1021.0,2.0,2.0,0.0,0.0,0.0,3.6421700000000015,Different,other error
163.0,4.9617,1.0,5.0,,,,4.0,3.0,5,5,4024.0,3027.0,4.0,1.0,1.0,5.0,5.0,3.8421500000000015,Different,correct
164.0,4.2497,1.0,1.0,,,,3.0,3.0,1,1,3017.0,3011.0,3.0,1.0,1.0,1.0,1.0,4.011280000000001,Same,correct
165.0,2.1084,1.0,1.0,,,,1.0,3.0,5,1,1021.0,3019.0,3.0,2.0,1.0,1.0,1.0,3.180250000000002,Different,correct
166.0,2.8264,1.0,5.0,,,,3.0,2.0,5,5,3023.0,2023.0,3.0,1.0,1.0,5.0,5.0,2.9912800000000015,Different,correct
167.0,1.9432,1.0,5.0,,,,1.0,1.0,5,5,1025.0,1023.0,1.0,1.0,1.0,5.0,5.0,2.9917000000000016,Same,correct
168.0,2.939,1.0,0.0,,,,2.0,4.0,1,1,2012.0,4014.0,4.0,1.0,0.0,0.0,0.0,3.0237700000000016,Different,correct
169.0,3.8187,1.0,1.0,,,,3.0,2.0,5,1,3024.0,2016.0,2.0,2.0,1.0,1.0,1.0,3.1912800000000017,Different,correct
170.0,2.5197,1.0,0.0,,,,3.0,3.0,1,5,3017.0,3028.0,2.0,1.0,0.0,0.0,0.0,3.2593100000000015,Same,correct
171.0,1.7203,1.0,5.0,,,,3.0,1.0,5,5,3029.0,1027.0,1.0,2.0,1.0,5.0,5.0,3.0255900000000016,Different,correct
172.0,5.421,1.0,5.0,,,,1.0,3.0,5,5,1028.0,3027.0,3.0,2.0,1.0,5.0,5.0,3.2508100000000013,Different,correct
173.0,1.8515,1.0,1.0,,,,4.0,1.0,1,5,4012.0,1028.0,4.0,1.0,1.0,1.0,1.0,2.9397900000000012,Different,correct
174.0,3.0911,1.0,0.0,,,,3.0,1.0,1,1,3015.0,1014.0,3.0,2.0,0.0,0.0,0.0,2.8239300000000016,Different,correct
