trial,rt,acc,key,t_pre_stim,t_delay1,t_delay2,first_cat,second_cat,first_num,second_num,first_pic,second_pic,probe_cat,probe_pic,probe_validity,probe_num,correct_answer,rt_sliding_mean,cat_comparison,error_type
1.0,6.941972255706787,1.0,5.0,,,,2.0,4.0,5,5,2021.0,4028.0,2.0,1.0,1.0,5.0,5.0,,Different,correct
2.0,22.295129776000977,1.0,1.0,,,,1.0,1.0,1,1,1012.0,1015.0,1.0,2.0,1.0,1.0,1.0,,Same,correct
3.0,8.295178651809692,1.0,1.0,,,,3.0,2.0,1,1,3011.0,2018.0,2.0,2.0,1.0,1.0,1.0,,Different,correct
4.0,4.808349847793579,1.0,5.0,,,,4.0,4.0,5,1,4029.0,4014.0,4.0,1.0,1.0,5.0,5.0,,Same,correct
5.0,4.9841766357421875,0.0,5.0,,,,2.0,2.0,5,1,2029.0,2011.0,3.0,2.0,0.0,0.0,0.0,,Same,same category
6.0,11.875174283981323,1.0,0.0,,,,1.0,4.0,5,5,1029.0,4025.0,1.0,2.0,0.0,0.0,0.0,,Different,correct
7.0,5.969423055648804,1.0,5.0,,,,3.0,4.0,5,1,3027.0,4018.0,3.0,1.0,1.0,5.0,5.0,,Different,correct
8.0,2.215869665145874,1.0,5.0,,,,3.0,4.0,5,1,3022.0,4016.0,3.0,1.0,1.0,5.0,5.0,,Different,correct
9.0,1.0579042434692383,0.0,5.0,,,,2.0,2.0,5,5,2024.0,2026.0,3.0,1.0,0.0,0.0,0.0,,Same,same category
10.0,17.66006851196289,0.0,5.0,,,,3.0,2.0,1,5,3015.0,2029.0,2.0,1.0,0.0,0.0,0.0,8.610324692726135,Different,swap error
11.0,3.52105975151062,1.0,5.0,,,,2.0,4.0,5,1,2021.0,4011.0,2.0,1.0,1.0,5.0,5.0,8.268233442306519,Different,correct
12.0,2.912268877029419,1.0,5.0,,,,1.0,1.0,5,5,1021.0,1026.0,1.0,2.0,1.0,5.0,5.0,6.329947352409363,Same,correct
13.0,4.998355865478516,1.0,1.0,,,,2.0,2.0,1,1,2014.0,2018.0,2.0,2.0,1.0,1.0,1.0,6.000265073776245,Same,correct
