trial,rt,acc,key,t_pre_stim,t_delay1,t_delay2,first_cat,second_cat,first_num,second_num,first_pic,second_pic,probe_cat,probe_pic,probe_validity,probe_num,correct_answer,rt_sliding_mean,cat_comparison,num_comparison,error_type
113.0,2.7730298042297363,1.0,0.0,,,,1.0,3.0,5,1,1025.0,3012.0,1.0,2.0,0.0,0.0,0.0,3.3522133827209473,Different,Different,correct
114.0,9.474778175354004,1.0,1.0,,,,1.0,2.0,1,1,1013.0,2019.0,1.0,1.0,1.0,1.0,1.0,4.0462199449539185,Different,Same,correct
115.0,2.8597400188446045,1.0,1.0,,,,2.0,4.0,1,5,2011.0,4024.0,2.0,1.0,1.0,1.0,1.0,3.9633896112442017,Different,Different,correct
116.0,2.2015879154205322,1.0,1.0,,,,4.0,1.0,1,1,4016.0,1011.0,4.0,1.0,1.0,1.0,1.0,3.842904257774353,Different,Same,correct
117.0,2.5488345623016357,1.0,5.0,,,,3.0,2.0,5,1,3028.0,2017.0,3.0,1.0,1.0,5.0,5.0,3.974269652366638,Different,Different,correct
118.0,2.893810510635376,1.0,0.0,,,,1.0,1.0,1,5,1018.0,1026.0,4.0,1.0,0.0,0.0,0.0,4.120662713050843,Same,Different,correct
119.0,4.145121097564697,1.0,5.0,,,,2.0,1.0,1,5,2011.0,1023.0,1.0,2.0,1.0,5.0,5.0,3.676829981803894,Different,Different,correct
120.0,3.871314764022827,1.0,5.0,,,,2.0,3.0,5,5,2026.0,3022.0,3.0,2.0,1.0,5.0,5.0,3.640545058250427,Different,Same,correct
121.0,1.5854589939117432,1.0,5.0,,,,1.0,4.0,5,5,1029.0,4025.0,4.0,2.0,1.0,5.0,5.0,3.5630911111831667,Different,Same,correct
122.0,1.246253490447998,1.0,5.0,,,,3.0,3.0,5,1,3025.0,3011.0,3.0,1.0,1.0,5.0,5.0,3.3599929332733156,Same,Different,correct
123.0,28.89683771133423,0.0,0.0,,,,4.0,3.0,5,1,4025.0,3011.0,4.0,1.0,1.0,5.0,5.0,5.972373723983765,Different,Different,swap error
124.0,3.4614710807800293,0.0,1.0,,,,4.0,1.0,1,1,4015.0,1018.0,1.0,1.0,0.0,0.0,0.0,5.371043014526367,Different,Same,swap error
125.0,2.024366617202759,1.0,1.0,,,,3.0,3.0,1,5,3013.0,3023.0,3.0,1.0,1.0,1.0,1.0,5.287505674362182,Same,Different,correct
126.0,1.3578710556030273,1.0,5.0,,,,4.0,4.0,5,5,4023.0,4022.0,4.0,2.0,1.0,5.0,5.0,5.203133988380432,Same,Same,correct
