trial,rt,acc,key,t_pre_stim,t_delay1,t_delay2,first_cat,second_cat,first_num,second_num,first_pic,second_pic,probe_cat,probe_pic,probe_validity,probe_num,correct_answer,rt_sliding_mean,cat_comparison,num_comparison,error_type
66.0,3.2799222469329834,1.0,0.0,,,,1.0,3.0,5,5,1027.0,3024.0,1.0,2.0,0.0,0.0,0.0,5.190860152244568,Different,Same,correct
67.0,3.6275832653045654,1.0,0.0,,,,3.0,4.0,1,5,3013.0,4026.0,4.0,1.0,0.0,0.0,0.0,5.145403409004212,Different,Different,correct
68.0,3.035252094268799,1.0,1.0,,,,3.0,1.0,1,1,3015.0,1011.0,1.0,2.0,1.0,1.0,1.0,4.94063630104065,Different,Same,correct
69.0,6.271721363067627,1.0,0.0,,,,1.0,2.0,5,1,1027.0,2015.0,2.0,1.0,0.0,0.0,0.0,4.917987871170044,Different,Different,correct
70.0,5.237524509429932,1.0,1.0,,,,1.0,3.0,1,1,1016.0,3017.0,1.0,1.0,1.0,1.0,1.0,4.637317204475403,Different,Same,correct
71.0,2.7369401454925537,1.0,5.0,,,,4.0,2.0,1,5,4014.0,2027.0,2.0,2.0,1.0,5.0,5.0,4.257230353355408,Different,Different,correct
72.0,2.4796319007873535,1.0,5.0,,,,4.0,1.0,5,5,4027.0,1026.0,1.0,2.0,1.0,5.0,5.0,4.1964081764221195,Different,Same,correct
73.0,2.5254201889038086,1.0,5.0,,,,1.0,2.0,5,5,1029.0,2025.0,2.0,2.0,1.0,5.0,5.0,3.9636637926101685,Different,Same,correct
74.0,3.0168628692626953,0.0,5.0,,,,2.0,3.0,1,5,2016.0,3027.0,3.0,1.0,0.0,0.0,0.0,3.4987563371658323,Different,Different,swap error
75.0,1.9889357089996338,1.0,5.0,,,,4.0,4.0,5,5,4024.0,4022.0,4.0,1.0,1.0,5.0,5.0,3.419979429244995,Same,Same,correct
76.0,2.8759617805480957,1.0,0.0,,,,4.0,2.0,1,5,4016.0,2027.0,4.0,2.0,0.0,0.0,0.0,3.3795833826065063,Different,Different,correct
77.0,2.1850037574768066,1.0,5.0,,,,1.0,4.0,1,5,1012.0,4028.0,4.0,2.0,1.0,5.0,5.0,3.2353254318237306,Different,Different,correct
78.0,6.732596158981323,1.0,5.0,,,,4.0,3.0,5,5,4027.0,3028.0,4.0,1.0,1.0,5.0,5.0,3.605059838294983,Different,Same,correct
79.0,14.096395254135132,0.0,5.0,,,,4.0,3.0,1,5,4014.0,3029.0,3.0,1.0,0.0,0.0,0.0,4.387527227401733,Different,Different,swap error
80.0,5.1242356300354,1.0,0.0,,,,2.0,3.0,1,5,2014.0,3023.0,2.0,2.0,0.0,0.0,0.0,4.37619833946228,Different,Different,correct
81.0,9.188842296600342,1.0,0.0,,,,3.0,4.0,5,5,3028.0,4024.0,3.0,2.0,0.0,0.0,0.0,5.021388554573059,Different,Same,correct
82.0,4.176029205322266,1.0,0.0,,,,1.0,1.0,5,5,1021.0,1022.0,4.0,1.0,0.0,0.0,0.0,5.19102828502655,Same,Same,correct
83.0,2.799544095993042,1.0,5.0,,,,2.0,2.0,1,5,2011.0,2021.0,2.0,2.0,1.0,5.0,5.0,5.218440675735474,Same,Different,correct
84.0,3.0893068313598633,1.0,5.0,,,,2.0,3.0,5,1,2026.0,3011.0,2.0,1.0,1.0,5.0,5.0,5.225685071945191,Different,Different,correct
85.0,3.696946620941162,1.0,0.0,,,,4.0,1.0,1,5,4018.0,1025.0,1.0,1.0,0.0,0.0,0.0,5.396486163139343,Different,Different,correct
86.0,3.7347066402435303,1.0,5.0,,,,2.0,3.0,5,1,2029.0,3018.0,2.0,1.0,1.0,5.0,5.0,5.4823606491088865,Different,Different,correct
87.0,4.409170389175415,1.0,1.0,,,,3.0,4.0,1,1,3012.0,4015.0,4.0,2.0,1.0,1.0,1.0,5.704777312278748,Different,Same,correct
88.0,3.230437994003296,1.0,1.0,,,,3.0,3.0,5,1,3024.0,3014.0,3.0,2.0,1.0,1.0,1.0,5.354561495780945,Same,Different,correct
89.0,5.636638402938843,1.0,0.0,,,,1.0,3.0,1,1,1018.0,3013.0,1.0,2.0,0.0,0.0,0.0,4.508585810661316,Different,Same,correct
90.0,5.141797780990601,1.0,0.0,,,,3.0,3.0,1,1,3013.0,3019.0,2.0,1.0,0.0,0.0,0.0,4.510342025756836,Same,Same,correct
91.0,3.6953179836273193,1.0,0.0,,,,2.0,1.0,1,5,2018.0,1026.0,2.0,2.0,0.0,0.0,0.0,3.9609895944595337,Different,Different,correct
92.0,2.1745851039886475,1.0,5.0,,,,3.0,2.0,1,5,3014.0,2024.0,2.0,2.0,1.0,5.0,5.0,3.760845184326172,Different,Different,correct
93.0,5.59607195854187,1.0,0.0,,,,4.0,1.0,5,5,4026.0,1028.0,4.0,2.0,0.0,0.0,0.0,4.040497970581055,Different,Same,correct
94.0,2.310263156890869,1.0,1.0,,,,2.0,1.0,5,1,2022.0,1014.0,1.0,2.0,1.0,1.0,1.0,3.962593603134155,Different,Different,correct
