first_cat,second_cat,probe_pic,probe_validity,first_pic_idx,second_pic_idx,thisN,thisTrialN,thisRepN,correct_answer,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_break.keys,key_resp_break.rt,key_resp_break.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,instruction_txt_pre.started,Instruction.stopped,Instruction_0.started,instructionKey1.started,instruction_txt_up.started,instruction_txt_bot.started,keyG.started,keyH.started,keyJ.started,textboxG.started,textboxH.started,textboxJ.started,Instruction_0.stopped,Practice.started,pactice_text.started,fixation_pra.started,stim1_pra.started,fixation_pra.stopped,stim1_pra.stopped,delay1_pra.started,delay1_pra.stopped,stim2_pra.started,stim2_pra.stopped,delay2_pra.started,delay2_pra.stopped,probe_pra.started,option1_pra.started,option2_pra.started,option3_pra.started,key_resp1_pra.started,Practice.stopped,Start.started,instruction_txt.started,startKey.started,Start.stopped,pic1,pic2,probe_cat,probe_text,trial.started,fixation.started,stim1.started,fixation.stopped,stim1.stopped,delay1.started,delay1.stopped,stim2.started,stim2.stopped,delay2.started,delay2.stopped,probe.started,option1.started,option2.started,option3.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,break_text.started,text_break.started,key_resp_break.started,break_text.stopped,trials.key_resp_break.keys,trials.key_resp_break.rt,trials.key_resp_break.duration,participant,session,date,expName,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.03751966699201148,0.05454891700355802,6.887228584004333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610487,001,2025-02-05_15h42.49.880,working_memory_cs,2024.2.4,2025-02-05 15h43.07.927261 -0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.888764834002359,6.914295334005146,6.914295334005146,6.914295334005146,6.914295334005146,6.914295334005146,6.914295334005146,6.914295334005146,6.914295334005146,6.914295334005146,9.331516749996808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610487,001,2025-02-05_15h42.49.880,working_memory_cs,2024.2.4,2025-02-05 15h43.07.927261 -0800,
1,1,1,1,23,16,5,5,0,,,,,,,,0,5,5,5,,,,,44.62563149999187,,,,,,,,,,,,,,,,44.621734792002826,44.62563149999187,44.62563149999187,45.59378583400394,45.627073625000776,46.59457783399557,46.59457783399557,47.58321083399642,47.58927737499471,48.58616104199609,48.59338249999564,49.58863712499442,49.58863712499442,49.58863712499442,49.58863712499442,49.58863712499442,49.58863712499442,51.772215959004825,51.773355958997854,51.78237845900003,51.78237845900003,53.379126874991925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610487,001,2025-02-05_15h42.49.880,working_memory_cs,2024.2.4,2025-02-05 15h43.07.927261 -0800,
4,1,1,0,27,19,0,0,0,0,h,2.8355425000045216,None,space,1.7013773740036413,None,,,,,0,0,0,0,53.43078641699685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/Car/27.jpg,stimuli/Person/19.jpg,people,"First picture, how many people?",53.42614858399611,53.43078641699685,54.37187633400026,54.43192062499293,55.36526566700195,55.37154404200555,56.36532095899747,56.37099441699684,57.37365150000551,57.37365150000551,59.87358333400334,59.88092687500466,59.88092687500466,59.88092687500466,59.88092687500466,59.88092687500466,62.71801966699422,h,2.8355425000045216,None,62.72493033399223,62.73048033399391,62.73048033399391,64.4342348749924,space,1.7013773740036413,None,610487,001,2025-02-05_15h42.49.880,working_memory_cs,2024.2.4,2025-02-05 15h43.07.927261 -0800,
3,1,2,1,12,28,1,1,0,5,j,1.895961748989066,None,space,0.8374545000115177,None,,,,,0,1,1,1,64.4713777089928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/Food/12.jpg,stimuli/Person/28.jpg,people,"Second picture, how many people?",64.46736349999264,64.4713777089928,65.43187145900447,65.46531187499932,66.42025733400078,66.42587808400276,67.4174812919955,67.43183587500243,68.43206537500373,68.43206537500373,70.93079045899503,70.93079045899503,70.93079045899503,70.93079045899503,70.93079045899503,70.93079045899503,72.8285248750035,j,1.895961748989066,None,72.82862129199202,72.84031329199206,72.84031329199206,73.68160704200272,space,0.8374545000115177,None,610487,001,2025-02-05_15h42.49.880,working_memory_cs,2024.2.4,2025-02-05 15h43.07.927261 -0800,
2,1,1,1,23,18,2,2,0,5,,,,,,,,,,,0,2,2,2,73.72024466699804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/Animal/23.jpg,stimuli/Person/18.jpg,animals,"First picture, how many animals?",73.71657895899261,73.72024466699804,74.68172087499988,74.71480091700505,75.66782379199867,75.66782379199867,76.66528512499644,76.67246124999656,77.66525916699902,77.67023495900503,80.16219704199466,80.18200895900372,80.18200895900372,80.18200895900372,80.18200895900372,80.18200895900372,81.6339017499995,g,1.4474077079939889,None,81.63819279200106,81.64269279199652,81.64269279199652,,,,,,,,,,,
