Instruction.started,Instruction.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instruction_0.started,Instruction_0.stopped,Practice.started,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,practice_trials.order,first_cat,second_cat,probe_pic,probe_validity,first_pic_idx,second_pic_idx
0.0006,0.664,795454,001,2025-02-06_19h50.29.523,working_memory_cs,2024.2.4,MacIntel,133.3333333,,,,,,,,,,,,,,,
,,795454,001,2025-02-06_19h50.29.523,working_memory_cs,2024.2.4,MacIntel,133.3333333,0.6643,1.1463,,,,,,,,,,,,,
,,795454,001,2025-02-06_19h50.29.523,working_memory_cs,2024.2.4,MacIntel,133.3333333,,,1.1646,0,0,0,0,1,5,1,2,1,0,15,21
