first_cat,second_cat,probe_pic,probe_validity,first_pic_idx,second_pic_idx,thisN,thisTrialN,thisRepN,correct_answer,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_break.keys,key_resp_break.rt,key_resp_break.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,instruction_txt_pre.started,Instruction.stopped,Instruction_0.started,instructionKey1.started,instruction_txt_up.started,instruction_txt_bot.started,keyG.started,keyH.started,keyJ.started,textboxG.started,textboxH.started,textboxJ.started,Instruction_0.stopped,Practice.started,pactice_text.started,fixation_pra.started,stim1_pra.started,fixation_pra.stopped,stim1_pra.stopped,delay1_pra.started,delay1_pra.stopped,stim2_pra.started,stim2_pra.stopped,delay2_pra.started,delay2_pra.stopped,probe_pra.started,option1_pra.started,option2_pra.started,option3_pra.started,key_resp1_pra.started,Practice.stopped,Start.started,instruction_txt.started,startKey.started,Start.stopped,pic1,pic2,probe_cat,probe_text,trial.started,fixation.started,stim1.started,fixation.stopped,stim1.stopped,delay1.started,delay1.stopped,stim2.started,stim2.stopped,delay2.started,delay2.stopped,probe.started,option1.started,option2.started,option3.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,break_text.started,text_break.started,key_resp_break.started,break_text.stopped,trials.key_resp_break.keys,trials.key_resp_break.rt,trials.key_resp_break.duration,participant,session,date,expName,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.01886166600161232,0.032777291009551845,1.0646135410061106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,092556,001,2025-02-05_16h03.43.221,working_memory_cs,2024.2.4,2025-02-05 16h03.47.440840 -0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0659160830109613,1.0802552079985617,1.0802552079985617,1.0802552079985617,1.0802552079985617,1.0802552079985617,1.0802552079985617,1.0802552079985617,1.0802552079985617,1.0802552079985617,1.6737970410031267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,092556,001,2025-02-05_16h03.43.221,working_memory_cs,2024.2.4,2025-02-05 16h03.47.440840 -0800,
1,1,1,1,20,10,5,5,0,,,,,,,,0,5,5,5,,,,,31.73363662500924,,,,,,,,,,,,,,,,31.72967154100479,31.73363662500924,31.73363662500924,32.69778300001053,32.73170708300313,33.6982407910109,33.6982407910109,34.69810775000951,34.69810775000951,35.69815120800922,35.69815120800922,36.68843525000557,36.68843525000557,36.68843525000557,36.68843525000557,36.68843525000557,36.68843525000557,38.123482666007476,38.124332166000386,38.13240158300323,38.13240158300323,39.04074404100538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,092556,001,2025-02-05_16h03.43.221,working_memory_cs,2024.2.4,2025-02-05 16h03.47.440840 -0800,
4,1,1,0,27,19,0,0,0,0,j,0.5595146249979734,None,space,4.229092791007133,None,,,,,0,0,0,0,39.07959562500764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/Car/27.jpg,stimuli/Person/19.jpg,people,"First picture, how many people?",39.07542550000653,39.07959562500764,40.039733916011755,40.08160225000756,41.03979337500641,41.03979337500641,42.039728791001835,42.039728791001835,43.03104675000941,43.03104675000941,45.53118187500513,45.53118187500513,45.53118187500513,45.53118187500513,45.53118187500513,45.53118187500513,46.10087670800567,j,0.5595146249979734,None,46.10735029100033,46.11262420800631,46.11262420800631,50.350934875008534,space,4.229092791007133,None,092556,001,2025-02-05_16h03.43.221,working_memory_cs,2024.2.4,2025-02-05 16h03.47.440840 -0800,
3,1,2,1,12,28,1,1,0,5,h,0.635206165999989,None,None,,,,,,,0,1,1,1,50.39045962500677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/Food/12.jpg,stimuli/Person/28.jpg,people,"Second picture, how many people?",50.38626137500978,50.39045962500677,51.34334600000875,51.38975333300186,52.33989908300282,52.345494207998854,53.339692708002985,53.34552016601083,54.34814412500418,54.34814412500418,56.83736304100603,56.84429783299856,56.84429783299856,56.84429783299856,56.84429783299856,56.84429783299856,57.481645040999865,h,0.635206165999989,None,57.48175795801217,,,57.481783666007686,None,,,092556,001,2025-02-05_16h03.43.221,working_memory_cs,2024.2.4,2025-02-05 16h03.47.440840 -0800,
2,1,1,1,23,18,2,2,0,5,h,0.5660206250031479,None,None,,,,,,,0,2,2,2,57.5183307910047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/Animal/23.jpg,stimuli/Person/18.jpg,animals,"First picture, how many animals?",57.51482041600684,57.5183307910047,58.479206125004566,58.509262749998015,59.466975125003955,59.48137404100271,60.48145054100314,60.48145054100314,61.48137220799981,61.48137220799981,63.97501637499954,63.97501637499954,63.97501637499954,63.97501637499954,63.97501637499954,63.97501637499954,64.54224333300954,h,0.5660206250031479,None,64.54598520800937,,,64.54602087500098,None,,,092556,001,2025-02-05_16h03.43.221,working_memory_cs,2024.2.4,2025-02-05 16h03.47.440840 -0800,
3,1,1,0,21,24,3,3,0,0,h,0.6880794989992864,None,None,,,,,,,0,3,3,3,64.57606358300836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/Food/21.jpg,stimuli/Person/24.jpg,people,"First picture, how many people?",64.57210770800884,64.57606358300836,65.5397151250072,65.57309387500572,66.53969533300551,66.54842962500697,67.54801600000064,67.53477491599915,68.52847625000868,68.53433808300178,71.02611279100529,71.04697300000407,71.04697300000407,71.04697300000407,71.04697300000407,71.04697300000407,71.74201695800002,h,0.6880794989992864,None,71.74211141600972,,,71.74213104099908,None,,,092556,001,2025-02-05_16h03.43.221,working_memory_cs,2024.2.4,2025-02-05 16h03.47.440840 -0800,
2,4,1,1,21,28,4,4,0,5,j,0.48414320799929556,None,None,,,,,,,0,4,4,4,71.78367812500801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/Animal/21.jpg,stimuli/Car/28.jpg,animals,"First picture, how many animals?",71.7794972910051,71.78367812500801,72.73975720800809,72.77854679099983,73.73973412500345,73.73973412500345,74.73914966599841,74.73914966599841,75.73972862500523,75.73972862500523,78.23966295800346,78.23966295800346,78.23966295800346,78.23966295800346,78.23966295800346,78.23966295800346,78.72844658300164,j,0.48414320799929556,None,78.72853229100292,,,78.72855270800937,None,,,092556,001,2025-02-05_16h03.43.221,working_memory_cs,2024.2.4,2025-02-05 16h03.47.440840 -0800,
1,1,2,1,12,15,5,5,0,1,h,0.3830440000019735,None,None,,,,,,,0,5,5,5,78.76115429100173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/Person/12.jpg,stimuli/Person/15.jpg,people,"Second picture, how many people?",78.75738995800202,78.76115429100173,79.73110245801217,79.7647968329984,80.72302179101098,80.72302179101098,81.72293950000312,81.72293950000312,82.7229487910081,82.73132220801199,85.23133362500812,85.21858845801034,85.21858845801034,85.21858845801034,85.21858845801034,85.21858845801034,85.60852983299992,h,0.3830440000019735,None,85.61250375000236,,,85.61252850000164,None,,,092556,001,2025-02-05_16h03.43.221,working_memory_cs,2024.2.4,2025-02-05 16h03.47.440840 -0800,
3,2,2,1,11,18,6,6,0,1,h,0.10130583299905993,None,None,,,,,,,0,6,6,6,85.64339166600257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/Food/11.jpg,stimuli/Animal/18.jpg,animals,"Second picture, how many animals?",85.63970329100266,85.64339166600257,86.60641762500745,86.64001708300202,87.59718991600676,87.60307350000949,88.59819525000057,88.60412895800255,89.59802720800508,89.60369866600377,92.09511504101101,92.10124070799793,92.10124070799793,92.10124070799793,92.10124070799793,92.10124070799793,92.21680758301227,h,0.10130583299905993,None,92.21689383299963,,,92.21691295799974,None,,,092556,001,2025-02-05_16h03.43.221,working_memory_cs,2024.2.4,2025-02-05 16h03.47.440840 -0800,
