first_cat,second_cat,probe_pic,probe_validity,first_pic_idx,second_pic_idx,thisN,thisTrialN,thisRepN,correct_answer,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_break.keys,key_resp_break.rt,key_resp_break.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,instruction_txt_pre.started,Instruction.stopped,Instruction_0.started,instructionKey1.started,instruction_txt_up.started,instruction_txt_bot.started,keyG.started,keyH.started,keyJ.started,textboxG.started,textboxH.started,textboxJ.started,Instruction_0.stopped,Practice.started,pactice_text.started,fixation_pra.started,stim1_pra.started,fixation_pra.stopped,stim1_pra.stopped,delay1_pra.started,delay1_pra.stopped,stim2_pra.started,stim2_pra.stopped,delay2_pra.started,delay2_pra.stopped,probe_pra.started,option1_pra.started,option2_pra.started,option3_pra.started,key_resp1_pra.started,Practice.stopped,Start.started,instruction_txt.started,startKey.started,Start.stopped,pic1,pic2,probe_cat,probe_text,trial.started,fixation.started,stim1.started,fixation.stopped,stim1.stopped,delay1.started,delay1.stopped,stim2.started,stim2.stopped,delay2.started,delay2.stopped,probe.started,option1.started,option2.started,option3.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,break_text.started,text_break.started,key_resp_break.started,break_text.stopped,trials.key_resp_break.keys,trials.key_resp_break.rt,trials.key_resp_break.duration,participant,session,date,expName,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.03305995800474193,0.06598887500877026,1.6891691670025466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820486,001,2025-02-05_15h34.46.791,working_memory_cs,2024.2.4,2025-02-05 15h34.50.129573 -0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6904563330026576,1.7135110000090208,1.7135110000090208,1.7135110000090208,1.7135110000090208,1.7135110000090208,1.7135110000090208,1.7135110000090208,1.7135110000090208,1.7135110000090208,2.2922418329981156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820486,001,2025-02-05_15h34.46.791,working_memory_cs,2024.2.4,2025-02-05 15h34.50.129573 -0800,
1,1,1,1,23,16,5,5,0,,,,,,,,0,5,5,5,,,,,31.22484512500523,,,,,,,,,,,,,,,,31.220782167001744,31.22484512500523,31.22484512500523,32.19328362500528,32.22696487500798,33.19339495799795,33.19339495799795,34.19229258300038,34.19229258300038,35.193350000001374,35.193350000001374,36.18511970799591,36.19017141700897,36.19017141700897,36.19017141700897,36.19017141700897,36.19017141700897,36.67488545800734,36.67531916699954,36.68132695800159,36.68132695800159,39.49966137499723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820486,001,2025-02-05_15h34.46.791,working_memory_cs,2024.2.4,2025-02-05 15h34.50.129573 -0800,
4,1,1,0,27,19,0,0,0,0,g,0.5851447910099523,None,space,2.6523202910029795,None,,,,,0,0,0,0,39.551631875001476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/Car/27.jpg,stimuli/Person/19.jpg,people,"First picture, how many people?",39.547547791997204,39.551631875001476,40.49141570800566,40.551655041999766,41.48508629199932,41.491427957997075,42.48494354200375,42.490532750001876,43.48163433300215,43.50161945799482,46.00062175000494,46.00062175000494,46.00062175000494,46.00062175000494,46.00062175000494,46.00062175000494,46.59046950000629,g,0.5851447910099523,None,46.596872833004454,46.60187016699638,46.60187016699638,49.256333666999126,space,2.6523202910029795,None,820486,001,2025-02-05_15h34.46.791,working_memory_cs,2024.2.4,2025-02-05 15h34.50.129573 -0800,
3,1,2,1,12,28,1,1,0,5,j,0.5761820410116343,None,space,3.1746596659941133,None,,,,,0,1,1,1,49.28981441700307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/Food/12.jpg,stimuli/Person/28.jpg,people,"Second picture, how many people?",49.285940292000305,49.28981441700307,50.24926412499917,50.28226262499811,51.24338029199862,51.24913195800036,52.24321741699532,52.249498042001505,53.23724195800605,53.26011654200556,55.75061495800037,55.75061495800037,55.75061495800037,55.75061495800037,55.75061495800037,55.75061495800037,56.33267899999919,j,0.5761820410116343,None,56.33889695799735,56.34507679200033,56.34507679200033,59.529613000006066,space,3.1746596659941133,None,820486,001,2025-02-05_15h34.46.791,working_memory_cs,2024.2.4,2025-02-05 15h34.50.129573 -0800,
2,1,1,1,23,18,2,2,0,5,,,,,,,,,,,0,2,2,2,59.56872837500123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/Animal/23.jpg,stimuli/Person/18.jpg,animals,"First picture, how many animals?",59.564693042004365,59.56872837500123,60.52139733299555,60.568290292008896,61.51289841700054,61.526604667000356,62.52550225000596,62.52550225000596,63.51827950000006,63.52409925000393,66.02546833299857,66.02546833299857,66.02546833299857,66.02546833299857,66.02546833299857,66.02546833299857,66.62882470800832,g,0.596936290996382,None,66.63379662499938,66.63922608300345,66.63922608300345,,,,,,,,,,,
