Instruction.started,Instruction.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instruction_0.started,Instruction_0.stopped,Practice.started,Practice.stopped,Start.started,Start.stopped,pic1,pic2,probe_cat,probe_text,trial.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,first_cat,second_cat,probe_pic,probe_validity,first_pic_idx,second_pic_idx,correct_answer,trials.order
0.0006,2.196,jundazhu,001,2025-02-05_13h14.53.760,working_memory_cs,2024.2.4,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,jundazhu,001,2025-02-05_13h14.53.760,working_memory_cs,2024.2.4,MacIntel,120.4819277,2.1962,2.8924,,,,,,,,,,,,,,,,,,,,,,,,,,
,,jundazhu,001,2025-02-05_13h14.53.760,working_memory_cs,2024.2.4,MacIntel,120.4819277,,,895.7199,901.9593,901.9596,903.1683,,,,,,,,,,,,,,,,,,,,,,
,,jundazhu,001,2025-02-05_13h14.53.760,working_memory_cs,2024.2.4,MacIntel,120.4819277,,,,,,,stimuli/Car/27.jpg,stimuli/Person/19.jpg,people,"First picture, how many people?",903.1787,911.1056,h,1.399,,0,0,0,0,1,4,1,1,0,27,19,0,
,,jundazhu,001,2025-02-05_13h14.53.760,working_memory_cs,2024.2.4,MacIntel,120.4819277,,,,,,,stimuli/Food/12.jpg,stimuli/Person/28.jpg,people,"Second picture, how many people?",911.1068,918.8264,j,1.2044,,0,1,1,1,1,3,1,2,1,12,28,5,
,,jundazhu,001,2025-02-05_13h14.53.760,working_memory_cs,2024.2.4,MacIntel,120.4819277,,,,,,,stimuli/Animal/23.jpg,stimuli/Person/18.jpg,animals,"First picture, how many animals?",918.8275,927.0929,j,1.7437,,0,2,2,2,1,2,1,1,1,23,18,5,
,,jundazhu,001,2025-02-05_13h14.53.760,working_memory_cs,2024.2.4,MacIntel,120.4819277,,,,,,,stimuli/Food/20.jpg,stimuli/Person/24.jpg,people,"First picture, how many people?",927.094,,,,,0,3,3,3,1,3,1,1,0,20,24,0,287
