unit_id,area,neuron_type,n_trials,n_stim1_categories,n_stim2_categories,n_stim1_numerosities,n_stim2_numerosities,cat_interaction_pval,cat_main_stim1_pval,cat_main_stim2_pval,cat_model_r2,cat_interaction_significant,num_interaction_pval,num_main_stim1_pval,num_main_stim2_pval,num_model_r2,num_interaction_significant,mixed_model_r2,mixed_cat1_pval,mixed_cat2_pval,mixed_num1_pval,mixed_num2_pval,mixed_selectivity_type,any_interaction_significant,is_first_cat_selective,is_second_cat_selective,is_first_num_selective,is_second_num_selective
0,AC,encoding_only,288,4,4,2,2,0.9302574939149633,0.10164011346560296,0.5738559617282142,0.04206686454668318,False,0.3593923147908221,0.38507862208732835,0.3731819151996917,0.008852299395506691,False,0.03622840259971938,0.08434380691341775,0.560049945386607,0.3431091557944327,0.3168930752709415,none,False,False,False,False,False
1,AC,encoding_only,288,4,4,2,2,0.9061714421306397,0.796502126117471,0.2063762008307021,0.034343858775062186,False,0.21371627281267686,0.7958696938666865,0.34017126605065884,0.008719742027427979,False,0.023843387400441785,0.7854126837693864,0.1868041893399146,0.9505946767280674,0.29599241322370273,none,False,False,False,False,False
2,AC,encoding_only,288,4,4,2,2,0.4712744778315461,0.7571845984127193,0.5125661287345677,0.04276906730686769,False,0.0001360573766317463,0.13704001700828747,0.5373098202705383,0.05879385919549962,True,0.02289474187733964,0.7798547569885033,0.42282418661059495,0.1218359546023928,0.499770446850312,numerosity_interaction,True,False,False,True,False
3,AC,encoding_only,288,4,4,2,2,0.229552150336395,0.31077177953133506,0.36585915908091426,0.06401107080857438,False,0.07455122778552907,0.9129305501269109,0.6296941954896199,0.012032862314869885,False,0.024230567235325906,0.3288404228438138,0.3629293544449221,0.9088373148775792,0.6282724366430936,none,False,False,False,False,False
4,AC,encoding_only,288,4,4,2,2,0.3625699275491907,0.36729526094961334,0.11675995529865184,0.06538372689009497,False,0.08629692966695868,0.07102205228125598,0.8980647315795991,0.021786590929873673,False,0.045716526566914384,0.3016514731184538,0.09843994330635014,0.047521347188225635,0.7321447659118256,none,False,False,False,False,False
5,AC,encoding_only,288,4,4,2,2,0.29326444115956174,0.2233509313656638,0.3917486186010438,0.06284502922817958,False,0.04838525222740548,0.23367562223135568,0.010133043676600723,0.04258622716291205,True,0.0647866414693864,0.09627626098527288,0.23569633136021953,0.1553746793124488,0.0029487800067820036,numerosity_interaction,True,False,False,True,True
6,AC,encoding_only,288,4,4,2,2,0.8556568911203752,0.5888502509750374,0.3512139051076514,0.03526287569805975,False,0.22295011869042866,0.01769159659777259,0.03189169396320949,0.0430389885707263,False,0.05237992033733274,0.7845382203195197,0.3684301272705172,0.021165394392399218,0.04950905167488619,none,False,False,False,False,True
7,AC,encoding_only,288,4,4,2,2,0.39676081674485697,0.7467581871253084,0.7017469340359002,0.04271539928097312,False,0.4453394834891259,0.052311812499650605,0.34537985462829024,0.017294527853072283,False,0.025132551806382186,0.6963478729152146,0.707526722642992,0.05820811728708025,0.27663636610282655,none,False,False,False,False,False
8,AC,encoding_only,288,4,4,2,2,0.799206826830531,0.8067888660081741,0.49927539257377196,0.031082659436624138,False,0.1992483813787678,0.556044076823548,0.008568894527604424,0.030054425919204042,False,0.03875266724930815,0.7491785664757388,0.39737330514141156,0.6720436926232829,0.005796600867084708,none,False,True,False,True,True
9,AC,encoding_only,288,4,4,2,2,0.2875133064433584,0.9486504418626582,0.08294953814350715,0.06210676018613437,False,0.5866165852842286,0.063399265993504,0.9108079594716715,0.013105986884146548,False,0.04002445694710177,0.9281143151448017,0.05529113950615051,0.03487874505262355,0.9825810202438104,none,False,False,False,False,False
