filename,memorability_score
10.jpg,0.7644034624099731
11.jpg,0.8788754940032959
12.jpg,0.9252772331237793
13.jpg,0.8762747645378113
14.jpg,0.7515550255775452
15.jpg,0.7982471585273743
16.jpg,0.9323865175247192
17.jpg,0.8719095587730408
18.jpg,0.7209958434104919
19.jpg,0.9413507580757141
20.jpg,0.8398568630218506
21.jpg,0.7847492098808289
22.jpg,0.7752938270568848
23.jpg,0.8280558586120605
24.jpg,0.778741180896759
25.jpg,0.8712106943130493
26.jpg,0.6621189117431641
27.jpg,0.8035345077514648
28.jpg,0.6859582662582397
29.jpg,0.8397442698478699
